D1	D2	L1	L2	Shift	Mult	Time
0.54	0.46	0.00462	0.00429	104.22	2.00	5000.00
0.57	0.43	0.00432	0.00446	115.46	2.00	5454.55
0.55	0.45	0.00482	0.00437	124.51	2.00	5909.09
0.62	0.38	0.00418	0.00499	133.10	2.00	6363.64
0.68	0.32	0.00391	0.00502	147.66	2.00	6818.18
0.65	0.35	0.00405	0.00534	151.63	2.00	7272.73
0.66	0.34	0.00372	0.00553	165.77	2.00	7727.27
0.67	0.33	0.00386	0.00579	174.06	2.00	8181.82
0.67	0.33	0.00403	0.00529	188.44	2.00	8636.36
0.17	0.83	0.02024	0.00360	69.24	2.00	9090.91
0.69	0.31	0.00387	0.00534	209.81	2.00	9545.45
0.66	0.34	0.00387	0.00429	182.73	2.00	10000.00
0.72	0.28	0.00376	0.00540	230.83	2.00	10454.55
0.72	0.28	0.00373	0.00555	235.63	2.00	10909.09
0.72	0.28	0.00351	0.00539	239.32	2.00	11363.64
0.71	0.29	0.00368	0.00512	252.04	2.00	11818.18
0.72	0.28	0.00357	0.00579	271.47	2.00	12272.73
0.76	0.24	0.00359	0.00590	283.41	2.00	12727.27
0.74	0.26	0.00366	0.00567	292.57	2.00	13181.82
0.74	0.26	0.00353	0.00513	284.01	2.00	13636.36
0.75	0.25	0.00351	0.00588	306.02	2.00	14090.91
0.74	0.26	0.00370	0.00577	312.67	2.00	14545.45
0.73	0.27	0.00359	0.00533	323.24	2.00	15000.00
0.76	0.24	0.00342	0.00594	339.59	2.00	15454.55
0.76	0.24	0.00353	0.00543	338.55	2.00	15909.09
0.77	0.23	0.00351	0.00570	350.81	2.00	16363.64
0.79	0.21	0.00337	0.00575	362.44	2.00	16818.18
0.79	0.21	0.00333	0.00618	374.82	2.00	17272.73
0.81	0.19	0.00330	0.00575	383.23	2.00	17727.27
0.73	0.27	0.00321	0.00325	151.52	2.00	18181.82
0.90	0.10	0.00312	0.00756	477.48	2.00	18636.36
0.83	0.17	0.00325	0.00626	415.27	2.00	19090.91
0.83	0.17	0.00321	0.00567	420.31	2.00	19545.45
0.83	0.17	0.00324	0.00617	442.36	2.00	20000.00
0.84	0.16	0.00313	0.00658	443.95	2.00	20454.55
0.83	0.17	0.00322	0.00585	446.66	2.00	20909.09
0.84	0.16	0.00321	0.00659	473.27	2.00	21363.64
0.85	0.15	0.00316	0.00582	470.67	2.00	21818.18
0.84	0.16	0.00318	0.00632	490.96	2.00	22272.73
0.83	0.17	0.00323	0.00624	488.40	2.00	22727.27
0.90	0.10	0.00299	0.00760	546.38	2.00	23181.82
0.80	0.20	0.00303	0.00332	314.76	2.00	23636.36
0.86	0.14	0.00310	0.00580	516.77	2.00	24090.91
0.87	0.13	0.00314	0.00624	539.05	2.00	24545.45
0.88	0.12	0.00308	0.00789	552.81	2.00	25000.00
0.86	0.14	0.00312	0.00556	544.73	2.00	25454.55
0.88	0.12	0.00304	0.00667	562.15	2.00	25909.09
0.88	0.12	0.00290	0.00627	573.69	2.00	26363.64
0.86	0.14	0.00306	0.00614	577.43	2.00	26818.18
0.88	0.12	0.00294	0.00677	607.25	2.00	27272.73
0.27	0.73	0.01152	0.00248	105.79	2.00	27727.27
0.85	0.15	0.00283	0.00282	195.65	2.00	28181.82
0.85	0.15	0.00305	0.00352	424.40	2.00	28636.36
0.84	0.16	0.00282	0.00283	171.60	2.00	29090.91
0.84	0.16	0.00298	0.00335	393.59	2.00	29545.45
0.89	0.11	0.00299	0.00716	658.99	2.00	30000.00
0.90	0.10	0.00286	0.00676	662.81	2.00	30454.55
0.90	0.10	0.00281	0.00663	667.47	2.00	30909.09
0.85	0.15	0.00279	0.00278	263.11	2.00	31363.64
0.91	0.09	0.00284	0.00726	694.87	2.00	31818.18
0.90	0.10	0.00285	0.00550	625.02	2.00	32272.73
0.87	0.13	0.00277	0.00281	267.20	2.00	32727.27
0.85	0.15	0.00269	0.00271	200.39	2.00	33181.82
0.22	0.78	0.01539	0.00242	78.74	2.00	33636.36
0.94	0.06	0.00276	0.00893	803.07	2.00	34090.91
0.87	0.13	0.00265	0.00251	174.49	2.00	34545.45
0.93	0.07	0.00272	0.00947	763.06	2.00	35000.00
0.85	0.15	0.00268	0.00258	182.21	2.00	35454.55
0.90	0.10	0.00282	0.00699	769.39	2.00	35909.09
0.17	0.83	0.02042	0.00247	64.00	2.00	36363.64
0.93	0.07	0.00274	0.00720	791.49	2.00	36818.18
0.88	0.12	0.00268	0.00271	267.05	2.00	37272.73
0.34	0.66	0.00901	0.00230	137.34	2.00	37727.27
0.78	0.22	0.00282	0.00238	185.96	2.00	38181.82
0.86	0.14	0.00266	0.00254	190.30	2.00	38636.36
0.90	0.10	0.00261	0.00262	276.55	2.00	39090.91
0.13	0.87	0.02268	0.00233	46.09	2.00	39545.45
0.06	0.94	0.05900	0.00241	21.80	2.00	40000.00
0.88	0.12	0.00255	0.00252	226.28	2.00	40454.55
0.12	0.88	0.03485	0.00239	38.32	2.00	40909.09
0.86	0.14	0.00256	0.00239	162.97	2.00	41363.64
0.70	0.30	0.00306	0.00216	158.00	2.00	41818.18
0.89	0.11	0.00261	0.00259	242.32	2.00	42272.73
0.89	0.11	0.00260	0.00260	300.82	2.00	42727.27
0.89	0.11	0.00252	0.00239	179.03	2.00	43181.82
0.06	0.94	0.06052	0.00239	21.83	2.00	43636.36
0.30	0.70	0.00882	0.00226	104.41	2.00	44090.91
0.94	0.06	0.00265	0.00377	720.04	2.00	44545.45
0.25	0.75	0.01257	0.00231	93.09	2.00	45000.00
0.23	0.77	0.01460	0.00234	78.25	2.00	45454.55
0.19	0.81	0.01552	0.00234	63.19	2.00	45909.09
0.05	0.95	0.05917	0.00234	13.18	2.00	46363.64
0.42	0.58	0.00630	0.00219	134.07	2.00	46818.18
0.04	0.96	0.07167	0.00237	12.87	2.00	47272.73
0.92	0.08	0.00251	0.00262	343.05	2.00	47727.27
0.25	0.75	0.01232	0.00218	82.66	2.00	48181.82
0.11	0.89	0.02913	0.00231	38.18	2.00	48636.36
0.90	0.10	0.00254	0.00248	300.27	2.00	49090.91
0.37	0.63	0.00825	0.00211	128.02	2.00	49545.45
0.92	0.08	0.00245	0.00258	410.84	2.00	50000.00
0.51	0.49	0.00489	0.00417	101.73	2.09	5000.00
0.52	0.48	0.00450	0.00465	111.35	2.09	5454.55
0.56	0.44	0.00424	0.00486	129.76	2.09	5909.09
0.57	0.43	0.00430	0.00497	133.82	2.09	6363.64
0.60	0.40	0.00414	0.00496	147.18	2.09	6818.18
0.65	0.35	0.00389	0.00500	151.70	2.09	7272.73
0.60	0.40	0.00405	0.00484	163.84	2.09	7727.27
0.61	0.39	0.00407	0.00497	172.58	2.09	8181.82
0.65	0.35	0.00395	0.00508	188.82	2.09	8636.36
0.66	0.34	0.00375	0.00525	202.52	2.09	9090.91
0.69	0.31	0.00377	0.00545	214.72	2.09	9545.45
0.68	0.32	0.00378	0.00486	212.43	2.09	10000.00
0.68	0.32	0.00373	0.00509	225.01	2.09	10454.55
0.71	0.29	0.00368	0.00595	239.97	2.09	10909.09
0.66	0.34	0.00384	0.00558	241.82	2.09	11363.64
0.72	0.28	0.00370	0.00554	255.43	2.09	11818.18
0.71	0.29	0.00363	0.00569	267.81	2.09	12272.73
0.08	0.92	0.04015	0.00315	37.48	2.09	12727.27
0.74	0.26	0.00360	0.00567	288.70	2.09	13181.82
0.72	0.28	0.00363	0.00585	298.52	2.09	13636.36
0.71	0.29	0.00364	0.00518	295.24	2.09	14090.91
0.76	0.24	0.00347	0.00657	317.68	2.09	14545.45
0.74	0.26	0.00357	0.00572	327.73	2.09	15000.00
0.76	0.24	0.00353	0.00595	328.11	2.09	15454.55
0.74	0.26	0.00341	0.00528	342.86	2.09	15909.09
0.77	0.23	0.00332	0.00619	362.73	2.09	16363.64
0.76	0.24	0.00339	0.00590	365.42	2.09	16818.18
0.73	0.27	0.00315	0.00317	146.77	2.09	17272.73
0.81	0.19	0.00325	0.00650	405.91	2.09	17727.27
0.79	0.21	0.00342	0.00591	395.26	2.09	18181.82
0.77	0.23	0.00343	0.00560	403.74	2.09	18636.36
0.79	0.21	0.00328	0.00596	416.35	2.09	19090.91
0.82	0.18	0.00319	0.00579	431.69	2.09	19545.45
0.75	0.25	0.00338	0.00424	340.09	2.09	20000.00
0.81	0.19	0.00322	0.00685	451.64	2.09	20454.55
0.72	0.28	0.00302	0.00303	136.76	2.09	20909.09
0.83	0.17	0.00317	0.00708	467.13	2.09	21363.64
0.85	0.15	0.00303	0.00604	474.94	2.09	21818.18
0.84	0.16	0.00302	0.00645	486.83	2.09	22272.73
0.82	0.18	0.00315	0.00658	492.02	2.09	22727.27
0.84	0.16	0.00309	0.00581	502.44	2.09	23181.82
0.77	0.23	0.00304	0.00308	239.32	2.09	23636.36
0.85	0.15	0.00300	0.00680	526.76	2.09	24090.91
0.83	0.17	0.00306	0.00690	534.62	2.09	24545.45
0.85	0.15	0.00308	0.00606	543.42	2.09	25000.00
0.88	0.12	0.00294	0.00613	544.04	2.09	25454.55
0.29	0.71	0.01140	0.00259	118.10	2.09	25909.09
0.87	0.13	0.00302	0.00667	579.71	2.09	26363.64
0.87	0.13	0.00292	0.00673	585.17	2.09	26818.18
0.84	0.16	0.00298	0.00673	600.11	2.09	27272.73
0.18	0.82	0.01696	0.00250	77.28	2.09	27727.27
0.80	0.20	0.00270	0.00270	220.78	2.09	28181.82
0.87	0.13	0.00292	0.00692	626.02	2.09	28636.36
0.82	0.18	0.00270	0.00266	164.79	2.09	29090.91
0.85	0.15	0.00279	0.00296	318.71	2.09	29545.45
0.90	0.10	0.00277	0.00742	657.42	2.09	30000.00
0.89	0.11	0.00291	0.00633	661.64	2.09	30454.55
0.11	0.89	0.03054	0.00251	41.88	2.09	30909.09
0.90	0.10	0.00282	0.00674	685.37	2.09	31363.64
0.91	0.09	0.00276	0.00858	704.55	2.09	31818.18
0.85	0.15	0.00263	0.00259	204.16	2.09	32272.73
0.90	0.10	0.00284	0.00702	715.84	2.09	32727.27
0.85	0.15	0.00256	0.00257	200.13	2.09	33181.82
0.91	0.09	0.00274	0.00615	725.46	2.09	33636.36
0.80	0.20	0.00274	0.00251	160.63	2.09	34090.91
0.86	0.14	0.00271	0.00303	418.92	2.09	34545.45
0.15	0.85	0.02268	0.00236	64.23	2.09	35000.00
0.14	0.86	0.02264	0.00234	55.44	2.09	35454.55
0.03	0.97	0.07789	0.00242	13.20	2.09	35909.09
0.93	0.07	0.00258	0.00801	790.86	2.09	36363.64
0.92	0.08	0.00270	0.00661	797.98	2.09	36818.18
0.30	0.70	0.01110	0.00232	107.00	2.09	37272.73
0.14	0.86	0.02465	0.00239	50.29	2.09	37727.27
0.94	0.06	0.00258	0.00816	830.93	2.09	38181.82
0.16	0.84	0.02098	0.00234	60.61	2.09	38636.36
0.12	0.88	0.02411	0.00230	49.92	2.09	39090.91
0.93	0.07	0.00265	0.00704	864.83	2.09	39545.45
0.22	0.78	0.01459	0.00223	83.17	2.09	40000.00
0.83	0.17	0.00252	0.00251	225.30	2.09	40454.55
0.95	0.05	0.00253	0.00777	885.71	2.09	40909.09
0.87	0.13	0.00249	0.00252	299.30	2.09	41363.64
0.25	0.75	0.01402	0.00232	100.31	2.09	41818.18
0.90	0.10	0.00245	0.00247	267.48	2.09	42272.73
0.95	0.05	0.00249	0.00912	927.24	2.09	42727.27
0.95	0.05	0.00253	0.01064	951.46	2.09	43181.82
0.94	0.06	0.00246	0.00725	954.26	2.09	43636.36
0.14	0.86	0.01992	0.00229	52.81	2.09	44090.91
0.89	0.11	0.00243	0.00231	198.65	2.09	44545.45
0.95	0.05	0.00257	0.00795	1005.79	2.09	45000.00
0.33	0.67	0.00804	0.00215	116.91	2.09	45454.55
0.92	0.08	0.00244	0.00251	355.60	2.09	45909.09
0.89	0.11	0.00242	0.00218	202.49	2.09	46363.64
0.95	0.05	0.00239	0.00227	276.69	2.09	46818.18
0.94	0.06	0.00247	0.00284	536.08	2.09	47272.73
0.12	0.88	0.02247	0.00219	46.76	2.09	47727.27
0.19	0.81	0.01596	0.00218	72.87	2.09	48181.82
0.91	0.09	0.00240	0.00232	269.84	2.09	48636.36
0.92	0.08	0.00253	0.00295	611.32	2.09	49090.91
0.93	0.07	0.00239	0.00236	330.18	2.09	49545.45
0.89	0.11	0.00247	0.00238	253.08	2.09	50000.00
0.54	0.46	0.00462	0.00450	108.71	2.18	5000.00
0.51	0.49	0.00475	0.00453	122.73	2.18	5454.55
0.54	0.46	0.00445	0.00458	123.38	2.18	5909.09
0.57	0.43	0.00429	0.00450	136.94	2.18	6363.64
0.61	0.39	0.00393	0.00534	146.57	2.18	6818.18
0.57	0.43	0.00410	0.00473	155.26	2.18	7272.73
0.59	0.41	0.00419	0.00458	160.63	2.18	7727.27
0.63	0.37	0.00376	0.00529	177.75	2.18	8181.82
0.63	0.37	0.00384	0.00550	184.08	2.18	8636.36
0.62	0.38	0.00385	0.00500	192.28	2.18	9090.91
0.65	0.35	0.00379	0.00519	202.07	2.18	9545.45
0.64	0.36	0.00370	0.00517	209.92	2.18	10000.00
0.69	0.31	0.00372	0.00575	226.41	2.18	10454.55
0.70	0.30	0.00344	0.00587	245.64	2.18	10909.09
0.70	0.30	0.00356	0.00588	245.85	2.18	11363.64
0.66	0.34	0.00362	0.00541	258.12	2.18	11818.18
0.68	0.32	0.00365	0.00522	260.50	2.18	12272.73
0.69	0.31	0.00347	0.00555	278.21	2.18	12727.27
0.70	0.30	0.00354	0.00533	277.35	2.18	13181.82
0.70	0.30	0.00359	0.00556	299.35	2.18	13636.36
0.74	0.26	0.00347	0.00561	309.34	2.18	14090.91
0.72	0.28	0.00342	0.00575	317.58	2.18	14545.45
0.71	0.29	0.00337	0.00597	325.40	2.18	15000.00
0.74	0.26	0.00338	0.00578	330.47	2.18	15454.55
0.75	0.25	0.00339	0.00554	349.04	2.18	15909.09
0.72	0.28	0.00338	0.00585	351.49	2.18	16363.64
0.77	0.23	0.00327	0.00643	371.99	2.18	16818.18
0.74	0.26	0.00329	0.00548	371.34	2.18	17272.73
0.77	0.23	0.00326	0.00595	382.88	2.18	17727.27
0.77	0.23	0.00323	0.00605	396.76	2.18	18181.82
0.78	0.22	0.00326	0.00579	400.42	2.18	18636.36
0.77	0.23	0.00328	0.00566	410.15	2.18	19090.91
0.78	0.22	0.00332	0.00573	418.90	2.18	19545.45
0.79	0.21	0.00318	0.00587	437.87	2.18	20000.00
0.79	0.21	0.00320	0.00558	436.81	2.18	20454.55
0.90	0.10	0.00296	0.00914	537.79	2.18	20909.09
0.77	0.23	0.00321	0.00539	452.31	2.18	21363.64
0.81	0.19	0.00317	0.00602	472.63	2.18	21818.18
0.83	0.17	0.00299	0.00686	489.33	2.18	22272.73
0.81	0.19	0.00305	0.00605	501.45	2.18	22727.27
0.90	0.10	0.00284	0.00860	572.13	2.18	23181.82
0.85	0.15	0.00295	0.00745	518.88	2.18	23636.36
0.81	0.19	0.00303	0.00568	519.29	2.18	24090.91
0.82	0.18	0.00305	0.00593	532.82	2.18	24545.45
0.86	0.14	0.00281	0.00618	538.82	2.18	25000.00
0.82	0.18	0.00302	0.00669	549.59	2.18	25454.55
0.12	0.88	0.02887	0.00250	52.49	2.18	25909.09
0.82	0.18	0.00295	0.00617	577.17	2.18	26363.64
0.83	0.17	0.00302	0.00357	439.44	2.18	26818.18
0.85	0.15	0.00286	0.00648	595.94	2.18	27272.73
0.85	0.15	0.00286	0.00613	610.43	2.18	27727.27
0.80	0.20	0.00265	0.00265	183.10	2.18	28181.82
0.85	0.15	0.00285	0.00658	621.20	2.18	28636.36
0.33	0.67	0.00871	0.00239	140.00	2.18	29090.91
0.18	0.82	0.01704	0.00245	73.44	2.18	29545.45
0.86	0.14	0.00284	0.00623	650.50	2.18	30000.00
0.82	0.18	0.00265	0.00264	183.87	2.18	30454.55
0.11	0.89	0.02516	0.00237	43.59	2.18	30909.09
0.07	0.93	0.04772	0.00237	30.43	2.18	31363.64
0.13	0.87	0.02720	0.00234	52.13	2.18	31818.18
0.11	0.89	0.03038	0.00238	42.68	2.18	32272.73
0.90	0.10	0.00268	0.00714	717.77	2.18	32727.27
0.28	0.72	0.01036	0.00236	119.64	2.18	33181.82
0.89	0.11	0.00268	0.00672	729.93	2.18	33636.36
0.89	0.11	0.00269	0.00860	744.27	2.18	34090.91
0.91	0.09	0.00266	0.00816	762.64	2.18	34545.45
0.84	0.16	0.00257	0.00263	300.30	2.18	35000.00
0.09	0.91	0.03141	0.00229	35.91	2.18	35454.55
0.15	0.85	0.02113	0.00226	59.87	2.18	35909.09
0.11	0.89	0.02868	0.00231	45.25	2.18	36363.64
0.14	0.86	0.02339	0.00228	57.76	2.18	36818.18
0.83	0.17	0.00248	0.00234	164.31	2.18	37272.73
0.24	0.76	0.01285	0.00222	101.15	2.18	37727.27
0.02	0.98	0.12452	0.00228	10.31	2.18	38181.82
0.92	0.08	0.00252	0.00743	837.59	2.18	38636.36
0.03	0.97	0.08313	0.00232	12.08	2.18	39090.91
0.87	0.13	0.00261	0.00291	460.79	2.18	39545.45
0.85	0.15	0.00257	0.00259	319.19	2.18	40000.00
0.88	0.12	0.00245	0.00235	185.25	2.18	40454.55
0.94	0.06	0.00248	0.00736	895.77	2.18	40909.09
0.89	0.11	0.00249	0.00262	379.72	2.18	41363.64
0.92	0.08	0.00250	0.00695	912.25	2.18	41818.18
0.09	0.91	0.03345	0.00220	41.34	2.18	42272.73
0.21	0.79	0.01414	0.00222	78.50	2.18	42727.27
0.93	0.07	0.00246	0.00655	940.46	2.18	43181.82
0.89	0.11	0.00242	0.00246	328.87	2.18	43636.36
0.32	0.68	0.00898	0.00209	131.59	2.18	44090.91
0.94	0.06	0.00244	0.00798	967.19	2.18	44545.45
0.06	0.94	0.05198	0.00223	23.41	2.18	45000.00
0.14	0.86	0.02189	0.00213	56.12	2.18	45454.55
0.37	0.63	0.00759	0.00213	147.21	2.18	45909.09
0.39	0.61	0.00704	0.00207	158.92	2.18	46363.64
0.96	0.04	0.00236	0.00854	1026.90	2.18	46818.18
0.08	0.92	0.03766	0.00219	36.22	2.18	47272.73
0.94	0.06	0.00236	0.00266	581.62	2.18	47727.27
0.33	0.67	0.00838	0.00205	143.92	2.18	48181.82
0.16	0.84	0.01843	0.00211	66.22	2.18	48636.36
0.82	0.18	0.00249	0.00208	188.21	2.18	49090.91
0.90	0.10	0.00234	0.00236	347.18	2.18	49545.45
0.95	0.05	0.00246	0.00749	1098.35	2.18	50000.00
0.47	0.53	0.00529	0.00420	100.36	2.27	5000.00
0.52	0.48	0.00423	0.00454	107.27	2.27	5454.55
0.49	0.51	0.00421	0.00448	123.11	2.27	5909.09
0.53	0.47	0.00415	0.00467	135.60	2.27	6363.64
0.55	0.45	0.00403	0.00497	145.01	2.27	6818.18
0.57	0.43	0.00415	0.00461	151.73	2.27	7272.73
0.59	0.41	0.00374	0.00513	163.02	2.27	7727.27
0.59	0.41	0.00368	0.00507	176.44	2.27	8181.82
0.60	0.40	0.00399	0.00471	183.82	2.27	8636.36
0.60	0.40	0.00394	0.00510	193.57	2.27	9090.91
0.66	0.34	0.00373	0.00476	208.19	2.27	9545.45
0.60	0.40	0.00390	0.00512	212.31	2.27	10000.00
0.61	0.39	0.00383	0.00478	213.92	2.27	10454.55
0.65	0.35	0.00370	0.00556	236.85	2.27	10909.09
0.08	0.92	0.04344	0.00318	38.09	2.27	11363.64
0.68	0.32	0.00350	0.00558	254.69	2.27	11818.18
0.67	0.33	0.00359	0.00543	261.58	2.27	12272.73
0.69	0.31	0.00338	0.00611	278.22	2.27	12727.27
0.66	0.34	0.00352	0.00557	284.04	2.27	13181.82
0.65	0.35	0.00346	0.00495	289.25	2.27	13636.36
0.72	0.28	0.00349	0.00537	301.70	2.27	14090.91
0.71	0.29	0.00339	0.00579	318.55	2.27	14545.45
0.72	0.28	0.00334	0.00566	318.50	2.27	15000.00
0.72	0.28	0.00343	0.00579	335.86	2.27	15454.55
0.74	0.26	0.00332	0.00574	336.49	2.27	15909.09
0.75	0.25	0.00325	0.00537	355.12	2.27	16363.64
0.74	0.26	0.00327	0.00618	370.61	2.27	16818.18
0.77	0.23	0.00319	0.00555	368.97	2.27	17272.73
0.74	0.26	0.00330	0.00553	379.06	2.27	17727.27
0.75	0.25	0.00343	0.00583	386.25	2.27	18181.82
0.76	0.24	0.00308	0.00559	410.98	2.27	18636.36
0.77	0.23	0.00313	0.00643	416.37	2.27	19090.91
0.80	0.20	0.00308	0.00625	427.60	2.27	19545.45
0.77	0.23	0.00313	0.00614	439.85	2.27	20000.00
0.79	0.21	0.00309	0.00605	445.78	2.27	20454.55
0.78	0.22	0.00312	0.00545	454.86	2.27	20909.09
0.78	0.22	0.00304	0.00591	460.22	2.27	21363.64
0.77	0.23	0.00316	0.00532	473.89	2.27	21818.18
0.80	0.20	0.00294	0.00657	488.62	2.27	22272.73
0.78	0.22	0.00302	0.00573	486.44	2.27	22727.27
0.81	0.19	0.00299	0.00620	501.55	2.27	23181.82
0.83	0.17	0.00301	0.00600	519.01	2.27	23636.36
0.12	0.88	0.02377	0.00253	57.53	2.27	24090.91
0.78	0.22	0.00289	0.00300	247.70	2.27	24545.45
0.84	0.16	0.00292	0.00616	537.15	2.27	25000.00
0.83	0.17	0.00298	0.00649	562.64	2.27	25454.55
0.83	0.17	0.00296	0.00579	557.94	2.27	25909.09
0.84	0.16	0.00284	0.00636	572.67	2.27	26363.64
0.83	0.17	0.00293	0.00600	590.06	2.27	26818.18
0.77	0.23	0.00269	0.00273	217.58	2.27	27272.73
0.84	0.16	0.00293	0.00666	606.95	2.27	27727.27
0.84	0.16	0.00281	0.00670	611.11	2.27	28181.82
0.85	0.15	0.00280	0.00711	624.50	2.27	28636.36
0.79	0.21	0.00263	0.00267	224.38	2.27	29090.91
0.86	0.14	0.00271	0.00707	641.26	2.27	29545.45
0.88	0.12	0.00271	0.00658	648.05	2.27	30000.00
0.85	0.15	0.00274	0.00670	663.17	2.27	30454.55
0.88	0.12	0.00263	0.00615	676.70	2.27	30909.09
0.88	0.12	0.00267	0.00720	685.27	2.27	31363.64
0.88	0.12	0.00275	0.00630	687.28	2.27	31818.18
0.82	0.18	0.00250	0.00248	179.66	2.27	32272.73
0.88	0.12	0.00264	0.00662	717.10	2.27	32727.27
0.20	0.80	0.01514	0.00225	87.13	2.27	33181.82
0.85	0.15	0.00256	0.00270	351.12	2.27	33636.36
0.20	0.80	0.01278	0.00225	96.37	2.27	34090.91
0.90	0.10	0.00256	0.00691	761.21	2.27	34545.45
0.99	0.01	0.00230	0.03289	960.38	2.27	35000.00
0.85	0.15	0.00259	0.00277	386.01	2.27	35454.55
0.19	0.81	0.01531	0.00223	80.56	2.27	35909.09
0.85	0.15	0.00246	0.00252	282.51	2.27	36363.64
0.91	0.09	0.00254	0.00742	801.24	2.27	36818.18
0.81	0.19	0.00241	0.00236	171.96	2.27	37272.73
0.02	0.98	0.13256	0.00226	12.11	2.27	37727.27
0.04	0.96	0.06363	0.00227	21.86	2.27	38181.82
0.85	0.15	0.00253	0.00254	349.81	2.27	38636.36
0.86	0.14	0.00244	0.00251	350.68	2.27	39090.91
0.86	0.14	0.00242	0.00242	242.74	2.27	39545.45
0.87	0.13	0.00243	0.00239	254.43	2.27	40000.00
0.23	0.77	0.01272	0.00213	100.72	2.27	40454.55
0.91	0.09	0.00241	0.00739	902.35	2.27	40909.09
0.84	0.16	0.00238	0.00244	249.15	2.27	41363.64
0.34	0.66	0.00832	0.00210	135.76	2.27	41818.18
0.23	0.77	0.01243	0.00209	95.78	2.27	42272.73
0.18	0.82	0.01602	0.00216	75.57	2.27	42727.27
0.93	0.07	0.00244	0.00668	947.95	2.27	43181.82
0.88	0.12	0.00233	0.00233	288.87	2.27	43636.36
0.23	0.77	0.01319	0.00210	96.18	2.27	44090.91
0.93	0.07	0.00247	0.00768	977.77	2.27	44545.45
0.14	0.86	0.01915	0.00214	60.34	2.27	45000.00
0.50	0.50	0.00434	0.00189	172.46	2.27	45454.55
0.89	0.11	0.00229	0.00219	203.76	2.27	45909.09
0.33	0.67	0.00782	0.00197	134.15	2.27	46363.64
0.89	0.11	0.00236	0.00233	349.20	2.27	46818.18
0.91	0.09	0.00241	0.00286	596.80	2.27	47272.73
0.92	0.08	0.00232	0.00233	359.49	2.27	47727.27
0.94	0.06	0.00240	0.00369	866.41	2.27	48181.82
0.88	0.12	0.00236	0.00240	390.51	2.27	48636.36
0.03	0.97	0.07837	0.00217	12.00	2.27	49090.91
0.88	0.12	0.00231	0.00228	208.44	2.27	49545.45
0.96	0.04	0.00234	0.00723	1089.62	2.27	50000.00
0.45	0.55	0.00479	0.00424	102.64	2.36	5000.00
0.50	0.50	0.00432	0.00438	108.90	2.36	5454.55
0.48	0.52	0.00449	0.00456	126.29	2.36	5909.09
0.52	0.48	0.00436	0.00446	129.74	2.36	6363.64
0.55	0.45	0.00406	0.00477	146.29	2.36	6818.18
0.54	0.46	0.00430	0.00454	149.72	2.36	7272.73
0.58	0.42	0.00374	0.00505	164.55	2.36	7727.27
0.61	0.39	0.00384	0.00470	167.03	2.36	8181.82
0.59	0.41	0.00397	0.00470	182.97	2.36	8636.36
0.62	0.38	0.00361	0.00536	197.54	2.36	9090.91
0.62	0.38	0.00364	0.00545	202.60	2.36	9545.45
0.58	0.42	0.00406	0.00467	212.64	2.36	10000.00
0.66	0.34	0.00357	0.00556	229.19	2.36	10454.55
0.66	0.34	0.00361	0.00551	235.85	2.36	10909.09
0.62	0.38	0.00361	0.00498	236.38	2.36	11363.64
0.64	0.36	0.00353	0.00545	261.61	2.36	11818.18
0.65	0.35	0.00359	0.00535	262.11	2.36	12272.73
0.65	0.35	0.00367	0.00528	268.26	2.36	12727.27
0.63	0.37	0.00367	0.00539	289.10	2.36	13181.82
0.69	0.31	0.00355	0.00590	304.88	2.36	13636.36
0.69	0.31	0.00332	0.00565	302.14	2.36	14090.91
0.68	0.32	0.00326	0.00563	314.39	2.36	14545.45
0.69	0.31	0.00326	0.00519	315.57	2.36	15000.00
0.69	0.31	0.00335	0.00539	325.62	2.36	15454.55
0.71	0.29	0.00318	0.00620	343.39	2.36	15909.09
0.73	0.27	0.00328	0.00567	350.34	2.36	16363.64
0.67	0.33	0.00340	0.00546	355.16	2.36	16818.18
0.73	0.27	0.00316	0.00578	375.76	2.36	17272.73
0.73	0.27	0.00315	0.00594	383.82	2.36	17727.27
0.72	0.28	0.00309	0.00553	393.05	2.36	18181.82
0.75	0.25	0.00320	0.00580	407.98	2.36	18636.36
0.72	0.28	0.00326	0.00548	416.03	2.36	19090.91
0.74	0.26	0.00319	0.00554	419.89	2.36	19545.45
0.77	0.23	0.00300	0.00643	436.28	2.36	20000.00
0.77	0.23	0.00312	0.00557	437.64	2.36	20454.55
0.76	0.24	0.00297	0.00606	448.46	2.36	20909.09
0.90	0.10	0.00270	0.00985	555.84	2.36	21363.64
0.79	0.21	0.00302	0.00619	476.09	2.36	21818.18
0.79	0.21	0.00301	0.00583	481.89	2.36	22272.73
0.80	0.20	0.00297	0.00627	498.85	2.36	22727.27
0.79	0.21	0.00294	0.00602	505.33	2.36	23181.82
0.81	0.19	0.00298	0.00610	503.68	2.36	23636.36
0.78	0.22	0.00302	0.00598	519.93	2.36	24090.91
0.80	0.20	0.00299	0.00585	530.27	2.36	24545.45
0.82	0.18	0.00294	0.00623	550.95	2.36	25000.00
0.16	0.84	0.01786	0.00243	77.28	2.36	25454.55
0.82	0.18	0.00282	0.00579	559.94	2.36	25909.09
0.31	0.69	0.00933	0.00240	135.74	2.36	26363.64
0.85	0.15	0.00274	0.00695	587.70	2.36	26818.18
0.85	0.15	0.00275	0.00561	588.57	2.36	27272.73
